Id;IdTipoAttributo;IdGruppo;Ordine;Nome;Descrizione;IdStoreProcedure;DataSource;DataMember;DataLen;DataFormat;necessario;RitornaDescrizione;PostBack;Discriminante;Principale;visualizzaValore;defaultValue;IdSPverificaAttributo;Regex;IsEsteso
709;1;917;1;EntePA;P.A. in Gestione Conto Stato;56;profiloUtente;EntePA;NULL;NULL;NULL;0;0;1;1;0;NULL;NULL;NULL;NULL
710;3;917;2;userNamePadre;Delegante;NULL;profiloUtente;username;NULL;NULL;NULL;0;0;1;0;0;NULL;NULL;NULL;NULL
711;1;918;1;RaggStrutPA;Raggruppamento Struttura;57;attributo;EntePa;NULL;NULL;NULL;0;0;1;1;0;NULL;28;NULL;NULL
712;1;919;1;RaggStrutPA;Raggruppamento Struttura;58;profiloUtente;RaggStrutPA;NULL;NULL;NULL;0;0;1;1;1;NULL;NULL;NULL;NULL
713;3;919;2;userNamePadre;Delegante;NULL;profiloUtente;username;NULL;NULL;NULL;0;0;1;0;0;NULL;NULL;NULL;NULL
714;2;920;1;StrutturaPA;Struttura;65;profiloUtente;EntePa;0;;0;0;0;1;1;0;;28;"                                                                                                                                                                                                                                                          ";0
715;1;921;1;StrutturaPA;Struttura;71;profiloUtente;StrutturaPA;NULL;NULL;NULL;0;1;1;1;0;NULL;NULL;NULL;NULL
716;3;921;2;userNamePadre;Delegante;NULL;profiloUtente;username;NULL;NULL;NULL;0;0;1;0;0;NULL;NULL;NULL;NULL
717;2;922;1;EntePA;Pubblica Amministrazione;70;NULL;NULL;NULL;NULL;NULL;0;0;1;1;0;NULL;NULL;NULL;NULL
718;3;930;1;CodiceFiscaleAVCP;CodiceFiscaleAVCP;19;NULL;NULL;NULL;NULL;NULL;0;0;1;1;0;NULL;NULL;NULL;NULL
719;3;931;1;NumAutorizzazione;Numero Autorizzazione;1;NULL;NULL;NULL;NULL;NULL;1;0;1;1;0;NULL;NULL;NULL;NULL
722;1;936;1;codiceRegioneIstat;Codice regionale istat;1;NULL;NULL;NULL;NULL;NULL;0;0;1;1;0;NULL;NULL;NULL;NULL
723;1;937;1;codiceRegioneIstat;Codice regionale istat;1;NULL;NULL;NULL;NULL;NULL;0;0;1;1;0;NULL;NULL;NULL;NULL
724;1;938;1;codiceASL;codice ASL;1;;;0;;0;0;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
